,A,B,C,D,E,F,G,H,I,J
50,Purple,Aquamarine,Charcoal,Brown,Crimson,Plum,Ivory,Cyan,Hot pink,Purple
51,Charcoal,Black,Lime,Olive,Pea green,Khaki,Pea green,Wheat,Red,Navy blue
52,Aquamarine,Hot pink,Gray,Maroon,Red,White,Brown,Black,Purple,Plum
53,Green,Khaki,Green,Crimson,White,Purple,Magenta,Green,White,Orange
54,Olden,Silver,Brown,Hot pink,Wheat,Maroon,Crimson,White,Coral,Brown
55,Cyan,Cyan,Pea green,Olden,Coral,Maroon,White,Aquamarine,Navy blue,Olden
56,Orange,Hot pink,Red,Orange,Yellow,Wheat,Coral,Yellow,Maroon,Brown
57,White,Silver,Olive,Pea green,Silver,Coral,Olden,Blue,Pea green,Navy blue
58,Magenta,Pea green,Green,Lime,Olden,Olive,Aquamarine,Olden,Yellow,Purple
59,Cyan,Crimson,Pea green,Ivory,Olive,Maroon,Magenta,Brown,Magenta,White
60,Charcoal,Cyan,Lime,Crimson,Coral,Khaki,Plum,Olive,Fuchsia,Hot pink
61,Plum,Magenta,Olden,Pea green,Wheat,Blue,Teal,Lime,Blue,Blue
62,Teal,Azure,Red,Yellow,Aquamarine,Maroon,Orange,Aquamarine,Pea green,White
63,Brown,Green,Magenta,Cyan,Olden,Olive,White,Gray,Maroon,Gray
64,Gray,Red,Red,Charcoal,Plum,Olden,Plum,Ivory,Green,Cyan
65,Brown,Olden,Plum,Yellow,Orange,Wheat,Charcoal,Azure,Wheat,Red
66,Fuchsia,Black,Gray,Azure,Charcoal,Green,Red,Fuchsia,Green,Hot pink
67,Red,Orange,Khaki,Pea green,Teal,Lime,Cyan,Coral,Ivory,Green
68,Khaki,Plum,Wheat,Plum,Brown,Maroon,Navy blue,Navy blue,Charcoal,Purple
69,Gray,Plum,Hot pink,Plum,Fuchsia,Pea green,Orange,Silver,Orange,Fuchsia
70,Cyan,Teal,Pea green,Fuchsia,Lime,Red,Teal,Pea green,Cyan,Crimson
71,White,Red,Gray,Blue,Silver,Brown,Orange,Yellow,Yellow,Pea green
72,Blue,Plum,Magenta,Crimson,Red,Olden,Brown,Orange,Fuchsia,Fuchsia
73,Silver,Fuchsia,Purple,Red,Gray,Hot pink,Magenta,White,Teal,Plum
74,Gray,Aquamarine,Olive,Maroon,Teal,White,Coral,Navy blue,Khaki,Olive
75,Black,Maroon,Ivory,Charcoal,Cyan,Hot pink,Wheat,Plum,Khaki,Silver
76,Lime,Olden,Lime,Hot pink,Navy blue,Maroon,Blue,Hot pink,Brown,Cyan
77,Olive,Ivory,Orange,Fuchsia,Cyan,Maroon,Fuchsia,Olden,Purple,Wheat
78,Hot pink,Orange,Crimson,Pea green,Blue,Green,Blue,Purple,Navy blue,Crimson
79,Red,White,Orange,Fuchsia,Yellow,Charcoal,Charcoal,Coral,Olden,Silver
80,Azure,Teal,Navy blue,Magenta,Azure,Black,Magenta,Aquamarine,Wheat,Olden
81,Blue,Black,Green,Teal,Maroon,Yellow,Coral,Orange,Blue,White
82,Charcoal,Black,Hot pink,Olive,Cyan,Cyan,Plum,Olive,Orange,Charcoal
83,Silver,Cyan,Black,Red,Fuchsia,Blue,Brown,Aquamarine,Lime,Wheat
84,Lime,Black,Coral,Pea green,Hot pink,Hot pink,Olden,Olive,Olive,Azure
85,Lime,Maroon,Yellow,Wheat,Silver,Green,Blue,Maroon,Black,Coral
86,Plum,Olive,Gray,White,Magenta,Brown,Aquamarine,Azure,Purple,Plum
87,Cyan,Fuchsia,Hot pink,Coral,Olden,Charcoal,Blue,Ivory,Crimson,Olive
88,Red,Purple,Pea green,Lime,Brown,Navy blue,Plum,Navy blue,Blue,Khaki
89,Silver,Navy blue,Brown,Crimson,Yellow,Brown,Aquamarine,Olive,White,Blue
90,Lime,Maroon,Olive,Orange,Red,Red,Pea green,Brown,White,Magenta
91,Purple,Charcoal,Silver,Ivory,Navy blue,Brown,Olden,White,Khaki,Olive
92,Green,Azure,Teal,Pea green,Red,Wheat,Navy blue,Charcoal,Purple,Teal
93,Magenta,Coral,Silver,Plum,Crimson,Charcoal,Wheat,Crimson,Khaki,Silver
94,Black,Fuchsia,Olive,Coral,Plum,Teal,Red,Red,Teal,Green
95,Gray,Teal,Crimson,Green,Gray,Purple,Coral,Cyan,Purple,Brown
96,Coral,Brown,Gray,Cyan,Pea green,Brown,Lime,White,Azure,Yellow
97,Black,Teal,Pea green,Coral,Plum,Wheat,Maroon,Pea green,Lime,Black
98,Charcoal,Crimson,Wheat,Purple,Plum,Charcoal,Khaki,Yellow,Lime,Brown
99,Olden,Orange,Aquamarine,Wheat,Silver,Blue,Coral,Fuchsia,Cyan,Yellow
100,Teal,Plum,Black,Olden,Olive,White,Khaki,Azure,Pea green,Gray
101,Fuchsia,Lime,Lime,Pea green,Brown,Maroon,Blue,Plum,Red,Green
102,Fuchsia,Khaki,Blue,Orange,Red,Wheat,Blue,Fuchsia,Silver,Aquamarine
103,White,Olive,Purple,Charcoal,White,Maroon,Maroon,Yellow,Brown,Olive
104,Navy blue,Lime,Blue,Plum,Charcoal,White,Fuchsia,Purple,Red,Charcoal
105,Yellow,Coral,Olive,Cyan,White,Coral,Fuchsia,Blue,Ivory,Lime
106,Hot pink,Lime,Green,Lime,Orange,Olden,Olive,Coral,Teal,Gray
107,Charcoal,Wheat,Teal,Pea green,Magenta,Aquamarine,Blue,Yellow,Black,Aquamarine
108,White,Orange,Magenta,Hot pink,Red,Navy blue,Lime,Wheat,Magenta,Olden
109,Orange,Lime,Charcoal,Wheat,Lime,Crimson,Plum,Maroon,Coral,Magenta
110,Wheat,Navy blue,Purple,Wheat,Fuchsia,Yellow,Charcoal,Blue,Crimson,Gray
111,Gray,Teal,Ivory,Teal,Red,Ivory,Silver,Ivory,Black,Azure
112,Green,Olive,Cyan,Pea green,Cyan,Khaki,Fuchsia,Yellow,Plum,Aquamarine
113,Brown,Crimson,Olive,Khaki,Navy blue,Navy blue,Cyan,Wheat,White,Aquamarine
114,Hot pink,Olden,Brown,Teal,Yellow,Green,Khaki,Hot pink,Brown,Navy blue
115,Aquamarine,Cyan,Olive,Pea green,Hot pink,Yellow,Coral,Green,Lime,Purple
116,Plum,Silver,Brown,Coral,Charcoal,Aquamarine,Orange,Plum,Purple,Ivory
117,Khaki,Brown,Red,Navy blue,Yellow,Cyan,Olden,Wheat,Hot pink,Green
118,Olden,Cyan,Yellow,Gray,Lime,Lime,Hot pink,Wheat,Cyan,Coral
119,Coral,Gray,Yellow,Green,Pea green,Red,Charcoal,Green,Fuchsia,Purple
120,Green,Red,Hot pink,Plum,Ivory,Plum,Magenta,White,Gray,Orange
121,Yellow,Magenta,Fuchsia,Olive,Plum,White,Azure,Olive,Cyan,Teal
122,White,Charcoal,Azure,Yellow,Lime,Blue,Olive,Teal,Black,Charcoal
123,Navy blue,Coral,Lime,Crimson,Pea green,Olive,Charcoal,Plum,Silver,Purple
124,Gray,Teal,Orange,Orange,Olden,Yellow,Brown,Crimson,Green,Fuchsia
125,Plum,Plum,Yellow,Azure,Plum,Black,Brown,Teal,Green,Wheat
126,Fuchsia,Pea green,White,Olive,Purple,Khaki,Cyan,Black,Yellow,Black
127,Fuchsia,Maroon,Maroon,Wheat,Olive,Wheat,Brown,Fuchsia,Silver,Charcoal
128,Cyan,Fuchsia,Khaki,Plum,Purple,Ivory,Orange,Blue,Black,Hot pink
129,Cyan,Green,Gray,Navy blue,Magenta,Black,Purple,Azure,Azure,Brown
130,Olden,Olden,Aquamarine,Crimson,Wheat,Yellow,Aquamarine,Pea green,Plum,Brown
131,Fuchsia,Crimson,Coral,Magenta,Orange,Olden,Olive,Maroon,Blue,Wheat
132,Plum,Aquamarine,White,Magenta,Teal,Blue,Maroon,Aquamarine,Hot pink,Lime
133,Yellow,Maroon,Black,Crimson,Silver,Teal,Cyan,Olive,Coral,Cyan
134,Olden,White,Khaki,Hot pink,Blue,Navy blue,Gray,Plum,Silver,Crimson
135,Orange,Green,Orange,Coral,Azure,Cyan,Coral,Black,Yellow,Olive
136,Red,Yellow,Magenta,Olden,Yellow,White,Ivory,Yellow,Lime,Azure
137,Hot pink,Brown,Ivory,Gray,Azure,Khaki,Navy blue,Aquamarine,Red,White
138,Navy blue,Pea green,Brown,Charcoal,Ivory,Coral,Azure,Purple,Maroon,Teal
139,Khaki,Maroon,Pea green,Ivory,Magenta,Magenta,Silver,Black,Coral,Magenta
140,Brown,Pea green,Crimson,Olive,Red,Green,Lime,Brown,Wheat,Teal
141,Red,Khaki,Maroon,Teal,Aquamarine,Crimson,Yellow,Pea green,Hot pink,Fuchsia
142,Fuchsia,Olive,Aquamarine,Olden,Lime,Olive,Hot pink,Khaki,Orange,Wheat
143,Coral,Magenta,Magenta,Cyan,Coral,Yellow,Maroon,Brown,Navy blue,Wheat
144,Orange,Crimson,White,White,Pea green,Olive,Brown,Magenta,Black,Wheat
145,Plum,Green,Silver,Silver,Coral,Cyan,Silver,Magenta,Cyan,Navy blue
146,Magenta,Olive,Blue,Magenta,Coral,Azure,Azure,Cyan,Lime,Aquamarine
147,Brown,Coral,Crimson,Azure,Black,Black,Olden,Green,Pea green,Olive
148,Khaki,Wheat,Coral,White,Olden,Hot pink,Green,Brown,Fuchsia,Yellow
149,Blue,Orange,Plum,Magenta,Magenta,Navy blue,Olive,Ivory,Fuchsia,Lime
150,Yellow,Charcoal,Aquamarine,Gray,Silver,Azure,Plum,Black,Olden,Hot pink
151,Lime,Olive,Fuchsia,Crimson,Teal,Khaki,Olive,Teal,Teal,Olden
152,Teal,Lime,Gray,White,Red,Black,Ivory,Teal,Teal,Khaki
153,Fuchsia,Silver,Green,Cyan,Khaki,Azure,White,Aquamarine,Black,Fuchsia
154,Ivory,Maroon,Yellow,Purple,Navy blue,Crimson,Olive,Olive,Fuchsia,Fuchsia
155,Maroon,Lime,Teal,Plum,Pea green,Blue,Azure,Silver,Aquamarine,Gray
156,Plum,White,Navy blue,Crimson,Blue,Black,Hot pink,Purple,Wheat,Purple
157,Azure,White,Ivory,Yellow,Ivory,Ivory,Plum,Brown,Black,Khaki
158,Green,Khaki,Green,White,White,Charcoal,Coral,Red,Lime,Gray
159,Black,Lime,Khaki,Magenta,Navy blue,Maroon,Blue,Magenta,Cyan,Green
160,Ivory,Lime,Cyan,Pea green,Hot pink,Purple,Olden,Cyan,Plum,Ivory
161,Cyan,Maroon,Aquamarine,Wheat,Maroon,Aquamarine,Black,Khaki,Purple,Cyan
162,Orange,Fuchsia,Charcoal,Olive,Olive,Khaki,Brown,Hot pink,Khaki,Orange
163,Orange,Plum,Magenta,Orange,Khaki,Navy blue,Ivory,Purple,Gray,Crimson
164,Lime,Khaki,Plum,Khaki,Olive,Cyan,Coral,Navy blue,Silver,Magenta
165,Black,Silver,Red,Purple,Green,Charcoal,Cyan,Coral,Hot pink,Orange
166,Purple,Magenta,Yellow,Crimson,Red,Olive,Plum,Pea green,Green,Blue
167,Gray,Purple,Pea green,Azure,Fuchsia,Charcoal,Hot pink,White,Green,Hot pink
168,Green,Teal,Black,Yellow,Blue,Orange,Coral,Orange,Magenta,Brown
169,Purple,Purple,Khaki,Purple,Orange,Ivory,White,Ivory,Charcoal,Silver
170,Crimson,Ivory,Crimson,Ivory,White,Hot pink,Khaki,Navy blue,Purple,Maroon
171,Charcoal,Aquamarine,Coral,Red,Ivory,Black,Aquamarine,Coral,Plum,Navy blue
172,Olive,Olden,Navy blue,Coral,Crimson,Purple,Hot pink,Crimson,Azure,Crimson
173,Gray,Wheat,Hot pink,Red,Olive,Khaki,Gray,Magenta,Coral,Khaki
174,Crimson,Coral,Teal,Pea green,Navy blue,Olden,Azure,Navy blue,Fuchsia,Teal
175,Maroon,White,Blue,Magenta,Purple,Purple,Crimson,Lime,Silver,Cyan
176,Maroon,Black,Lime,Teal,Blue,Maroon,Red,Green,White,Pea green
177,Fuchsia,Ivory,Yellow,Black,Blue,Hot pink,Yellow,Pea green,Cyan,Plum
178,Green,Fuchsia,Green,Brown,White,Green,Plum,Plum,Ivory,Plum
179,Silver,Red,Charcoal,Hot pink,Hot pink,Aquamarine,Orange,White,Yellow,Green
180,Fuchsia,Wheat,Fuchsia,Plum,Yellow,Wheat,Orange,Maroon,Azure,Crimson
181,Magenta,Navy blue,Charcoal,Teal,Magenta,Azure,Purple,Yellow,Wheat,Black
182,Magenta,Charcoal,Pea green,Lime,Khaki,Orange,Magenta,Ivory,Fuchsia,Olive
183,Teal,Fuchsia,Teal,Blue,White,Azure,Ivory,Red,Fuchsia,Wheat
184,Gray,Maroon,Wheat,Khaki,Plum,Aquamarine,Hot pink,Hot pink,Coral,Silver
185,Red,Azure,Lime,Silver,Brown,Magenta,Azure,Ivory,Coral,Orange
186,Purple,Crimson,Green,Olden,Charcoal,Orange,Wheat,Hot pink,Coral,Silver
187,Cyan,Olden,Gray,Wheat,Khaki,Hot pink,Khaki,Green,Fuchsia,White
188,Red,Ivory,Plum,Olden,Plum,Olden,Olden,Olden,Aquamarine,Blue
189,Hot pink,Crimson,Coral,Green,Ivory,Coral,Cyan,Navy blue,Teal,Brown
190,Plum,Wheat,Olive,Olden,Coral,Yellow,Pea green,Black,Black,Pea green
191,Charcoal,Aquamarine,Purple,Fuchsia,Hot pink,White,Blue,Silver,Plum,Orange
192,Orange,Olive,Magenta,Cyan,Red,Teal,Green,Olive,Plum,Khaki
193,Lime,Cyan,Green,Charcoal,Blue,Aquamarine,Pea green,Olive,Purple,Brown
194,Orange,White,Red,Wheat,Cyan,Charcoal,Fuchsia,Ivory,Teal,Orange
195,Aquamarine,Charcoal,Yellow,Silver,Teal,Navy blue,Charcoal,Khaki,Lime,Fuchsia
196,Lime,Crimson,Lime,Silver,Green,Cyan,Brown,Crimson,Wheat,Charcoal
197,Olden,Ivory,Ivory,Crimson,Yellow,Olive,Wheat,Teal,Hot pink,Azure
198,Gray,Azure,Brown,Azure,Brown,White,Silver,Teal,Yellow,Cyan
199,Cyan,Olive,Pea green,Magenta,Silver,Magenta,Navy blue,Coral,Black,Aquamarine
200,Wheat,Khaki,Charcoal,Ivory,Plum,Purple,Wheat,Black,Teal,Khaki
201,Olden,Yellow,Olden,Orange,Cyan,Black,Khaki,Ivory,Azure,Gray
202,Cyan,Silver,Orange,Maroon,Navy blue,Teal,Orange,Magenta,Navy blue,Navy blue
203,Crimson,Khaki,Green,Crimson,Charcoal,Purple,Olden,Green,Green,Olive
204,Teal,Magenta,Magenta,Orange,Aquamarine,Cyan,Crimson,Black,Purple,Green
205,Silver,Plum,Aquamarine,Orange,Crimson,Olden,Green,Wheat,Maroon,Wheat
206,Pea green,Khaki,Olive,Crimson,Cyan,Coral,Purple,Olden,White,Khaki
207,Charcoal,Yellow,Maroon,Teal,Wheat,Olive,Coral,Plum,Orange,Plum
208,Silver,Maroon,Hot pink,Navy blue,Silver,Coral,Wheat,Olden,White,Gray
209,Magenta,Charcoal,Black,Olden,Maroon,Brown,White,Charcoal,Orange,Gray
210,Maroon,Maroon,Cyan,Plum,Magenta,Red,Ivory,Yellow,Ivory,Crimson
211,Yellow,Pea green,Hot pink,Ivory,Cyan,Fuchsia,Navy blue,Teal,Gray,Navy blue
212,Olden,Orange,Black,Cyan,Olive,Olive,Cyan,Cyan,Khaki,Aquamarine
213,Red,Plum,Olden,Purple,Silver,Black,Blue,Orange,Orange,Orange
214,Cyan,Yellow,Black,Olive,Hot pink,Pea green,Purple,Green,Brown,Purple
215,Navy blue,Fuchsia,Yellow,Lime,Pea green,Navy blue,Yellow,Brown,Olden,Azure
216,Green,Brown,Lime,Gray,Crimson,Khaki,Wheat,Purple,Purple,Teal
217,Green,Blue,Silver,Wheat,Pea green,White,Khaki,Aquamarine,Blue,Silver
218,Aquamarine,Charcoal,Wheat,Silver,Magenta,Black,Olive,Orange,Charcoal,Black
219,Gray,Yellow,Ivory,Cyan,Olive,Maroon,Azure,White,Olden,Azure
220,Azure,Aquamarine,Teal,Cyan,Olden,Lime,Olden,Orange,Khaki,Green
221,Aquamarine,Ivory,Silver,Brown,Pea green,Ivory,Olden,Lime,Plum,Red
222,Magenta,Coral,Blue,Pea green,Yellow,Olive,Coral,Aquamarine,Lime,Crimson
223,Olden,Ivory,Orange,Green,Pea green,Pea green,Pea green,Aquamarine,Silver,Aquamarine
224,Orange,Blue,Cyan,Orange,Teal,Blue,Teal,Orange,Plum,Purple
225,Navy blue,Red,Teal,Pea green,Fuchsia,Green,Fuchsia,Fuchsia,Azure,Teal
226,Red,Wheat,Maroon,Teal,Olive,Brown,Orange,Coral,Wheat,Cyan
227,Azure,Teal,Purple,Maroon,Gray,Yellow,Brown,Coral,Orange,Black
228,Plum,Silver,Ivory,Lime,Maroon,Gray,Khaki,Purple,Khaki,Navy blue
229,Azure,Hot pink,Blue,Gray,Yellow,Blue,Black,Crimson,Magenta,Teal
230,Silver,Silver,Maroon,Purple,Azure,Green,Gray,Purple,Red,Lime
231,Plum,Pea green,Teal,Gray,Pea green,Fuchsia,Teal,Hot pink,Hot pink,Wheat
232,Plum,Green,Azure,Brown,Khaki,Azure,Crimson,Olive,Olive,Cyan
233,Black,Charcoal,Red,Charcoal,Purple,Olive,Fuchsia,Fuchsia,White,Navy blue
234,Coral,Wheat,Teal,Pea green,Olive,Olive,Gray,Hot pink,Blue,Wheat
235,Coral,Plum,Wheat,Gray,Khaki,White,Red,Khaki,Gray,Magenta
236,Olive,Yellow,Crimson,Green,Aquamarine,Plum,Orange,Brown,Crimson,Orange
237,Azure,Magenta,Magenta,Coral,Blue,Olden,Aquamarine,Navy blue,Navy blue,White
238,Olive,Charcoal,Hot pink,Yellow,Plum,Black,Blue,Lime,Magenta,Ivory
239,Khaki,Black,Charcoal,Lime,Silver,Wheat,Green,Black,Plum,Maroon
240,Red,Cyan,Aquamarine,Maroon,Gray,Aquamarine,White,Olden,Plum,Azure
241,Plum,Silver,Hot pink,Orange,Maroon,Coral,Khaki,Orange,Cyan,Hot pink
242,Black,Azure,Teal,Yellow,Red,Purple,Hot pink,Olden,Wheat,Gray
243,Fuchsia,Fuchsia,Magenta,White,Magenta,Magenta,Crimson,Gray,Black,Pea green
244,Gray,White,Red,Coral,Blue,Magenta,Navy blue,Pea green,Azure,Purple
245,White,Olive,Fuchsia,Azure,Wheat,Khaki,Charcoal,Crimson,Cyan,Lime
246,Plum,Fuchsia,Gray,Navy blue,Fuchsia,Azure,Khaki,Hot pink,White,Azure
247,Red,Red,Magenta,Lime,Maroon,Silver,Magenta,Maroon,Aquamarine,Gray
248,Navy blue,Olive,Navy blue,Charcoal,Black,Plum,Azure,Maroon,Black,Yellow
249,Coral,Magenta,Blue,Azure,Plum,Lime,Teal,Yellow,Fuchsia,Orange
250,Teal,Magenta,Green,Orange,Fuchsia,Lime,Red,Khaki,Ivory,Gray
251,Olden,Teal,Wheat,Coral,Orange,Black,Yellow,Teal,Olive,Maroon
252,Pea green,Cyan,Olden,Crimson,Aquamarine,Silver,Maroon,Olden,Navy blue,Pea green
253,Green,Fuchsia,White,Purple,Maroon,Brown,Brown,Khaki,Purple,Plum
254,Navy blue,Magenta,Gray,Brown,Lime,White,Ivory,Crimson,Red,Cyan
255,Olden,Pea green,Pea green,Azure,Teal,White,Navy blue,Coral,Azure,Green
256,White,Plum,Wheat,Green,Green,Silver,Maroon,Maroon,Hot pink,Yellow
257,Charcoal,Plum,Cyan,Wheat,Gray,Aquamarine,Lime,Ivory,Gray,Lime
258,Khaki,White,Fuchsia,Navy blue,Olive,Green,Fuchsia,Teal,Coral,Yellow
259,Olden,Hot pink,Olive,Azure,Silver,Gray,Brown,White,Red,Gray
260,Coral,Coral,Ivory,Wheat,Olive,Navy blue,Gray,Wheat,Red,Plum
261,Charcoal,Pea green,White,Crimson,Silver,Cyan,Magenta,Green,Yellow,Wheat
262,Yellow,Pea green,Fuchsia,Ivory,Hot pink,Red,Pea green,Orange,Olden,Fuchsia
263,Fuchsia,Khaki,Orange,Maroon,Olden,Hot pink,Magenta,Silver,Lime,Ivory
264,Silver,Green,Lime,Teal,Navy blue,Azure,Pea green,Olden,Orange,Coral
265,Cyan,Ivory,Navy blue,Teal,Cyan,Khaki,Black,Crimson,Navy blue,Teal
266,Red,Magenta,Red,Blue,Navy blue,Coral,Aquamarine,Blue,Teal,Crimson
267,Plum,Olive,Pea green,Gray,Orange,Plum,Magenta,Lime,Ivory,Khaki
268,Blue,Charcoal,Maroon,Ivory,Fuchsia,Olden,Ivory,Yellow,Green,Brown
269,Magenta,Maroon,Olive,Wheat,Wheat,Red,Lime,Yellow,Ivory,Black
270,Magenta,Hot pink,Navy blue,Ivory,Khaki,Crimson,White,White,Red,Fuchsia
271,Hot pink,Olive,Red,Plum,Orange,Khaki,Black,Crimson,Aquamarine,Lime
272,Hot pink,Red,Cyan,Aquamarine,Red,Coral,Blue,Ivory,Plum,Brown
273,Magenta,Crimson,Olive,Lime,Silver,Khaki,Orange,Teal,Wheat,Gray
274,Olden,Navy blue,Teal,Magenta,Charcoal,Orange,Ivory,Pea green,Khaki,Maroon
275,Crimson,Wheat,Fuchsia,Aquamarine,Olive,Coral,Hot pink,Orange,Hot pink,Fuchsia
276,Coral,Plum,Fuchsia,Crimson,Purple,Aquamarine,Yellow,Hot pink,Olive,Maroon
277,Purple,Gray,Red,Yellow,Blue,Charcoal,Blue,Azure,Orange,Maroon
278,Fuchsia,Silver,Orange,Navy blue,Gray,Maroon,Olden,Teal,Khaki,Brown
279,Yellow,Hot pink,Hot pink,Gray,Red,Teal,Khaki,Red,Green,Fuchsia
280,Purple,Azure,Maroon,White,Azure,Maroon,Black,Green,Plum,Plum
281,Olden,Orange,White,Silver,Pea green,Yellow,Khaki,Khaki,Plum,Azure
282,Cyan,Navy blue,Maroon,Yellow,Hot pink,Plum,Olive,Coral,White,Hot pink
283,Magenta,Red,Brown,Blue,Teal,Olden,Black,Red,Hot pink,Plum
284,Charcoal,Teal,Hot pink,Yellow,Cyan,Black,Khaki,Hot pink,Wheat,Ivory
285,Red,Black,Maroon,Navy blue,Green,Teal,Hot pink,Fuchsia,Plum,Crimson
286,Blue,Blue,Lime,Cyan,Silver,Hot pink,Crimson,Hot pink,Yellow,Cyan
287,Azure,Olden,Yellow,Black,Cyan,Wheat,White,Silver,Navy blue,Olden
288,Ivory,Orange,Fuchsia,White,Pea green,Coral,Teal,White,Hot pink,Aquamarine
289,Wheat,Charcoal,Charcoal,Aquamarine,Crimson,Plum,Blue,Orange,Navy blue,Lime
290,Khaki,Hot pink,Brown,Gray,Wheat,Brown,Azure,Crimson,Magenta,Green
291,Azure,Yellow,Yellow,Orange,Olden,Aquamarine,Brown,Magenta,Crimson,Fuchsia
292,Coral,Cyan,Blue,Brown,Aquamarine,Pea green,Fuchsia,White,Pea green,Lime
293,Cyan,Plum,Blue,Olden,Lime,Wheat,Orange,Green,Teal,Magenta
294,Pea green,Maroon,Azure,Aquamarine,Silver,Gray,White,Crimson,Red,Fuchsia
295,Brown,Black,White,Olive,Magenta,Crimson,Khaki,Cyan,Hot pink,Maroon
